id,cuisine,ingredients,mint,large eggs,heavy cream,berries,ground cinnamon,ground nutmeg,whole milk,salt,grated lemon peel,melted butter,granulated sugar,baking powder,all-purpose flour,figs,graham cracker crumbs,sprinkles,confectioners sugar
10259,greek,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25693,southern_us,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20130,filipino,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22213,indian,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13162,indian,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6602,jamaican,12,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
42779,spanish,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3735,italian,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16903,mexican,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12734,italian,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5875,italian,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45887,chinese,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2698,italian,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41995,mexican,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
31908,italian,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
24717,indian,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34466,british,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1420,italian,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2941,thai,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8152,vietnamese,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13121,thai,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40523,mexican,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40989,southern_us,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29630,chinese,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49136,italian,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26705,chinese,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27976,cajun_creole,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22087,italian,11,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9197,chinese,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299,mexican,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40429,italian,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
